"X" "Y"
10.0478 44.385
10.1108 44.385
10.1108 44.34
10.0478 44.34
10.0478 44.385
NA NA
10.1108 44.385
10.1738 44.385
10.1738 44.34
10.1108 44.34
10.1108 44.385
NA NA
9.66947 44.43
9.73247 44.43
9.73247 44.385
9.66947 44.385
9.66947 44.43
NA NA
9.9847 44.43
10.0477 44.43
10.0477 44.385
9.9847 44.385
9.9847 44.43
NA NA
10.0478 44.43
10.1108 44.43
10.1108 44.385
10.0478 44.385
10.0478 44.43
NA NA
10.1108 44.43
10.1738 44.43
10.1738 44.385
10.1108 44.385
10.1108 44.43
NA NA
10.1739 44.43
10.2369 44.43
10.2369 44.385
10.1739 44.385
10.1739 44.43
NA NA
9.48032 44.475
9.54332 44.475
9.54332 44.43
9.48032 44.43
9.48032 44.475
NA NA
9.54337 44.475
9.60637 44.475
9.60637 44.43
9.54337 44.43
9.54337 44.475
NA NA
9.60642 44.475
9.66942 44.475
9.66942 44.43
9.60642 44.43
9.60642 44.475
NA NA
9.66947 44.475
9.73247 44.475
9.73247 44.43
9.66947 44.43
9.66947 44.475
NA NA
9.73252 44.475
9.79552 44.475
9.79552 44.43
9.73252 44.43
9.73252 44.475
NA NA
9.9847 44.475
10.0477 44.475
10.0477 44.43
9.9847 44.43
9.9847 44.475
NA NA
10.0478 44.475
10.1108 44.475
10.1108 44.43
10.0478 44.43
10.0478 44.475
NA NA
10.1108 44.475
10.1738 44.475
10.1738 44.43
10.1108 44.43
10.1108 44.475
NA NA
10.1739 44.475
10.2369 44.475
10.2369 44.43
10.1739 44.43
10.1739 44.475
NA NA
9.48032 44.52
9.54332 44.52
9.54332 44.475
9.48032 44.475
9.48032 44.52
NA NA
9.54337 44.52
9.60637 44.52
9.60637 44.475
9.54337 44.475
9.54337 44.52
NA NA
9.60642 44.52
9.66942 44.52
9.66942 44.475
9.60642 44.475
9.60642 44.52
NA NA
9.66947 44.52
9.73247 44.52
9.73247 44.475
9.66947 44.475
9.66947 44.52
NA NA
9.73252 44.52
9.79552 44.52
9.79552 44.475
9.73252 44.475
9.73252 44.52
NA NA
9.79557 44.52
9.85857 44.52
9.85857 44.475
9.79557 44.475
9.79557 44.52
NA NA
9.85862 44.52
9.92162 44.52
9.92162 44.475
9.85862 44.475
9.85862 44.52
NA NA
9.92167 44.52
9.98467 44.52
9.98467 44.475
9.92167 44.475
9.92167 44.52
NA NA
9.9847 44.52
10.0477 44.52
10.0477 44.475
9.9847 44.475
9.9847 44.52
NA NA
10.0478 44.52
10.1108 44.52
10.1108 44.475
10.0478 44.475
10.0478 44.52
NA NA
10.1108 44.52
10.1738 44.52
10.1738 44.475
10.1108 44.475
10.1108 44.52
NA NA
10.1739 44.52
10.2369 44.52
10.2369 44.475
10.1739 44.475
10.1739 44.52
NA NA
10.2369 44.52
10.2999 44.52
10.2999 44.475
10.2369 44.475
10.2369 44.52
NA NA
10.3 44.52
10.363 44.52
10.363 44.475
10.3 44.475
10.3 44.52
NA NA
9.48032 44.565
9.54332 44.565
9.54332 44.52
9.48032 44.52
9.48032 44.565
NA NA
9.54337 44.565
9.60637 44.565
9.60637 44.52
9.54337 44.52
9.54337 44.565
NA NA
9.60642 44.565
9.66942 44.565
9.66942 44.52
9.60642 44.52
9.60642 44.565
NA NA
9.66947 44.565
9.73247 44.565
9.73247 44.52
9.66947 44.52
9.66947 44.565
NA NA
9.73252 44.565
9.79552 44.565
9.79552 44.52
9.73252 44.52
9.73252 44.565
NA NA
9.79557 44.565
9.85857 44.565
9.85857 44.52
9.79557 44.52
9.79557 44.565
NA NA
9.85862 44.565
9.92162 44.565
9.92162 44.52
9.85862 44.52
9.85862 44.565
NA NA
9.92167 44.565
9.98467 44.565
9.98467 44.52
9.92167 44.52
9.92167 44.565
NA NA
9.9847 44.565
10.0477 44.565
10.0477 44.52
9.9847 44.52
9.9847 44.565
NA NA
10.0478 44.565
10.1108 44.565
10.1108 44.52
10.0478 44.52
10.0478 44.565
NA NA
10.1108 44.565
10.1738 44.565
10.1738 44.52
10.1108 44.52
10.1108 44.565
NA NA
10.1739 44.565
10.2369 44.565
10.2369 44.52
10.1739 44.52
10.1739 44.565
NA NA
10.2369 44.565
10.2999 44.565
10.2999 44.52
10.2369 44.52
10.2369 44.565
NA NA
10.3 44.565
10.363 44.565
10.363 44.52
10.3 44.52
10.3 44.565
NA NA
9.54337 44.61
9.60637 44.61
9.60637 44.565
9.54337 44.565
9.54337 44.61
NA NA
9.60642 44.61
9.66942 44.61
9.66942 44.565
9.60642 44.565
9.60642 44.61
NA NA
9.66947 44.61
9.73247 44.61
9.73247 44.565
9.66947 44.565
9.66947 44.61
NA NA
9.73252 44.61
9.79552 44.61
9.79552 44.565
9.73252 44.565
9.73252 44.61
NA NA
9.79557 44.61
9.85857 44.61
9.85857 44.565
9.79557 44.565
9.79557 44.61
NA NA
9.85862 44.61
9.92162 44.61
9.92162 44.565
9.85862 44.565
9.85862 44.61
NA NA
9.92167 44.61
9.98467 44.61
9.98467 44.565
9.92167 44.565
9.92167 44.61
NA NA
9.9847 44.61
10.0477 44.61
10.0477 44.565
9.9847 44.565
9.9847 44.61
NA NA
10.0478 44.61
10.1108 44.61
10.1108 44.565
10.0478 44.565
10.0478 44.61
NA NA
10.1108 44.61
10.1738 44.61
10.1738 44.565
10.1108 44.565
10.1108 44.61
NA NA
10.1739 44.61
10.2369 44.61
10.2369 44.565
10.1739 44.565
10.1739 44.61
NA NA
10.2369 44.61
10.2999 44.61
10.2999 44.565
10.2369 44.565
10.2369 44.61
NA NA
10.3 44.61
10.363 44.61
10.363 44.565
10.3 44.565
10.3 44.61
NA NA
10.363 44.61
10.426 44.61
10.426 44.565
10.363 44.565
10.363 44.61
NA NA
9.60642 44.655
9.66942 44.655
9.66942 44.61
9.60642 44.61
9.60642 44.655
NA NA
9.66947 44.655
9.73247 44.655
9.73247 44.61
9.66947 44.61
9.66947 44.655
NA NA
9.73252 44.655
9.79552 44.655
9.79552 44.61
9.73252 44.61
9.73252 44.655
NA NA
9.79557 44.655
9.85857 44.655
9.85857 44.61
9.79557 44.61
9.79557 44.655
NA NA
9.85862 44.655
9.92162 44.655
9.92162 44.61
9.85862 44.61
9.85862 44.655
NA NA
9.92167 44.655
9.98467 44.655
9.98467 44.61
9.92167 44.61
9.92167 44.655
NA NA
9.9847 44.655
10.0477 44.655
10.0477 44.61
9.9847 44.61
9.9847 44.655
NA NA
10.0478 44.655
10.1108 44.655
10.1108 44.61
10.0478 44.61
10.0478 44.655
NA NA
10.1108 44.655
10.1738 44.655
10.1738 44.61
10.1108 44.61
10.1108 44.655
NA NA
10.1739 44.655
10.2369 44.655
10.2369 44.61
10.1739 44.61
10.1739 44.655
NA NA
10.2369 44.655
10.2999 44.655
10.2999 44.61
10.2369 44.61
10.2369 44.655
NA NA
10.3 44.655
10.363 44.655
10.363 44.61
10.3 44.61
10.3 44.655
NA NA
10.363 44.655
10.426 44.655
10.426 44.61
10.363 44.61
10.363 44.655
NA NA
9.73252 44.7
9.79552 44.7
9.79552 44.655
9.73252 44.655
9.73252 44.7
NA NA
9.79557 44.7
9.85857 44.7
9.85857 44.655
9.79557 44.655
9.79557 44.7
NA NA
9.85862 44.7
9.92162 44.7
9.92162 44.655
9.85862 44.655
9.85862 44.7
NA NA
9.92167 44.7
9.98467 44.7
9.98467 44.655
9.92167 44.655
9.92167 44.7
NA NA
9.9847 44.7
10.0477 44.7
10.0477 44.655
9.9847 44.655
9.9847 44.7
NA NA
10.0478 44.7
10.1108 44.7
10.1108 44.655
10.0478 44.655
10.0478 44.7
NA NA
10.1108 44.7
10.1738 44.7
10.1738 44.655
10.1108 44.655
10.1108 44.7
NA NA
10.1739 44.7
10.2369 44.7
10.2369 44.655
10.1739 44.655
10.1739 44.7
NA NA
10.2369 44.7
10.2999 44.7
10.2999 44.655
10.2369 44.655
10.2369 44.7
NA NA
10.3 44.7
10.363 44.7
10.363 44.655
10.3 44.655
10.3 44.7
NA NA
10.363 44.7
10.426 44.7
10.426 44.655
10.363 44.655
10.363 44.7
NA NA
9.79557 44.745
9.85857 44.745
9.85857 44.7
9.79557 44.7
9.79557 44.745
NA NA
9.85862 44.745
9.92162 44.745
9.92162 44.7
9.85862 44.7
9.85862 44.745
NA NA
9.92167 44.745
9.98467 44.745
9.98467 44.7
9.92167 44.7
9.92167 44.745
NA NA
9.9847 44.745
10.0477 44.745
10.0477 44.7
9.9847 44.7
9.9847 44.745
NA NA
10.0478 44.745
10.1108 44.745
10.1108 44.7
10.0478 44.7
10.0478 44.745
NA NA
10.1108 44.745
10.1738 44.745
10.1738 44.7
10.1108 44.7
10.1108 44.745
NA NA
10.1739 44.745
10.2369 44.745
10.2369 44.7
10.1739 44.7
10.1739 44.745
NA NA
10.2369 44.745
10.2999 44.745
10.2999 44.7
10.2369 44.7
10.2369 44.745
NA NA
10.3 44.745
10.363 44.745
10.363 44.7
10.3 44.7
10.3 44.745
NA NA
10.363 44.745
10.426 44.745
10.426 44.7
10.363 44.7
10.363 44.745
NA NA
9.85862 44.79
9.92162 44.79
9.92162 44.745
9.85862 44.745
9.85862 44.79
NA NA
9.92167 44.79
9.98467 44.79
9.98467 44.745
9.92167 44.745
9.92167 44.79
NA NA
9.9847 44.79
10.0477 44.79
10.0477 44.745
9.9847 44.745
9.9847 44.79
NA NA
10.0478 44.79
10.1108 44.79
10.1108 44.745
10.0478 44.745
10.0478 44.79
NA NA
10.1108 44.79
10.1738 44.79
10.1738 44.745
10.1108 44.745
10.1108 44.79
NA NA
10.1739 44.79
10.2369 44.79
10.2369 44.745
10.1739 44.745
10.1739 44.79
NA NA
10.2369 44.79
10.2999 44.79
10.2999 44.745
10.2369 44.745
10.2369 44.79
NA NA
10.3 44.79
10.363 44.79
10.363 44.745
10.3 44.745
10.3 44.79
NA NA
10.363 44.79
10.426 44.79
10.426 44.745
10.363 44.745
10.363 44.79
NA NA
9.92167 44.835
9.98467 44.835
9.98467 44.79
9.92167 44.79
9.92167 44.835
NA NA
9.9847 44.835
10.0477 44.835
10.0477 44.79
9.9847 44.79
9.9847 44.835
NA NA
10.0478 44.835
10.1108 44.835
