"X" "Y"
12.00225 43.755
12.06535 43.755
12.06535 43.71
12.00225 43.71
12.00225 43.755
NA NA
12.06535 43.755
12.12845 43.755
12.12845 43.71
12.06535 43.71
12.06535 43.755
NA NA
12.12835 43.755
12.19145 43.755
12.19145 43.71
12.12835 43.71
12.12835 43.755
NA NA
12.19145 43.755
12.25455 43.755
12.25455 43.71
12.19145 43.71
12.19145 43.755
NA NA
11.87615 43.8
11.93925 43.8
11.93925 43.755
11.87615 43.755
11.87615 43.8
NA NA
11.93925 43.8
12.00235 43.8
12.00235 43.755
11.93925 43.755
11.93925 43.8
NA NA
12.00225 43.8
12.06535 43.8
12.06535 43.755
12.00225 43.755
12.00225 43.8
NA NA
12.06535 43.8
12.12845 43.8
12.12845 43.755
12.06535 43.755
12.06535 43.8
NA NA
12.12835 43.8
12.19145 43.8
12.19145 43.755
12.12835 43.755
12.12835 43.8
NA NA
12.19145 43.8
12.25455 43.8
12.25455 43.755
12.19145 43.755
12.19145 43.8
NA NA
12.25445 43.8
12.31755 43.8
12.31755 43.755
12.25445 43.755
12.25445 43.8
NA NA
11.75005 43.845
11.81315 43.845
11.81315 43.8
11.75005 43.8
11.75005 43.845
NA NA
11.81315 43.845
11.87625 43.845
11.87625 43.8
11.81315 43.8
11.81315 43.845
NA NA
11.87615 43.845
11.93925 43.845
11.93925 43.8
11.87615 43.8
11.87615 43.845
NA NA
11.93925 43.845
12.00235 43.845
12.00235 43.8
11.93925 43.8
11.93925 43.845
NA NA
12.00225 43.845
12.06535 43.845
12.06535 43.8
12.00225 43.8
12.00225 43.845
NA NA
12.06535 43.845
12.12845 43.845
12.12845 43.8
12.06535 43.8
12.06535 43.845
NA NA
12.12835 43.845
12.19145 43.845
12.19145 43.8
12.12835 43.8
12.12835 43.845
NA NA
12.19145 43.845
12.25455 43.845
12.25455 43.8
12.19145 43.8
12.19145 43.845
NA NA
12.25445 43.845
12.31755 43.845
12.31755 43.8
12.25445 43.8
12.25445 43.845
NA NA
12.31755 43.845
12.38065 43.845
12.38065 43.8
12.31755 43.8
12.31755 43.845
NA NA
12.56975 43.845
12.63285 43.845
12.63285 43.8
12.56975 43.8
12.56975 43.845
NA NA
12.63275 43.845
12.69585 43.845
12.69585 43.8
12.63275 43.8
12.63275 43.845
NA NA
11.68705 43.89
11.75015 43.89
11.75015 43.845
11.68705 43.845
11.68705 43.89
NA NA
11.75005 43.89
11.81315 43.89
11.81315 43.845
11.75005 43.845
11.75005 43.89
NA NA
11.81315 43.89
11.87625 43.89
11.87625 43.845
11.81315 43.845
11.81315 43.89
NA NA
11.87615 43.89
11.93925 43.89
11.93925 43.845
11.87615 43.845
11.87615 43.89
NA NA
11.93925 43.89
12.00235 43.89
12.00235 43.845
11.93925 43.845
11.93925 43.89
NA NA
12.00225 43.89
12.06535 43.89
12.06535 43.845
12.00225 43.845
12.00225 43.89
NA NA
12.06535 43.89
12.12845 43.89
12.12845 43.845
12.06535 43.845
12.06535 43.89
NA NA
12.12835 43.89
12.19145 43.89
12.19145 43.845
12.12835 43.845
12.12835 43.89
NA NA
12.19145 43.89
12.25455 43.89
12.25455 43.845
12.19145 43.845
12.19145 43.89
NA NA
12.25445 43.89
12.31755 43.89
12.31755 43.845
12.25445 43.845
12.25445 43.89
NA NA
12.31755 43.89
12.38065 43.89
12.38065 43.845
12.31755 43.845
12.31755 43.89
